# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = clickgraph_model
# start_datetime = 2023-10-18 22:34:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = ../programs/STAN/clickgraph/clickgraph.data.R
# init = 2 (Default)
# random
#   seed = 1276562338 (Default)
# output
#   file = clickgraph.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,simAll,unif.1,unif.2,unif.3,unif.4,unif.5,beta1,beta2
-23.4696,0.37624,0.00441821,10,1023,0,28.5687,0.820196,0.736803,0.159366,0.11948,0.993445,0.453992,0.691832,0.398775
-22.3506,0.553027,0.00441821,9,1023,0,25.3362,0.857462,0.562525,0.479551,0.438316,0.986081,0.384715,0.70621,0.0562885
-19.0786,0.712963,0.00441821,9,511,0,24.7601,0.61303,0.715413,0.726248,0.754767,0.818277,0.573513,0.474886,0.729573
-21.8535,0.418023,0.00441821,9,1023,0,24.6633,0.544854,0.969561,0.305051,0.683505,0.635593,0.0625232,0.536537,0.605602
-22.4576,0.643297,0.00441821,9,511,0,25.4412,0.473024,0.964437,0.607399,0.720719,0.469004,0.25371,0.706031,0.410376
-23.5099,0.989618,0.00441821,9,1023,0,28.0775,0.680706,0.482426,0.526837,0.355884,0.640897,0.415407,0.919828,0.739374
-23.0152,0.924312,0.00441821,9,511,0,24.4993,0.707316,0.395818,0.452097,0.429576,0.57356,0.364523,0.911839,0.693229
-20.1329,1,0.00441821,9,511,0,23.8009,0.748416,0.347144,0.452013,0.590551,0.46302,0.537403,0.818278,0.376224
-23.0374,0.991808,0.00441821,9,511,0,25.7549,0.919894,0.861281,0.531621,0.0151847,0.315618,0.432355,0.677157,0.460211
-23.6003,0.302561,0.00441821,9,1023,0,28.034,0.809911,0.814132,0.710305,0.0122034,0.473908,0.322039,0.589259,0.215975
-20.5736,0.979708,0.00441821,9,511,0,24.8744,0.53908,0.72795,0.473743,0.103309,0.349012,0.783139,0.529003,0.805428
-22.1299,0.549805,0.00441821,9,1023,0,27.0763,0.502577,0.766105,0.978639,0.738456,0.414156,0.0828807,0.652945,0.83465
-22.3257,0.538435,0.00441821,9,1023,0,28.8435,0.514003,0.760137,0.980321,0.814274,0.420369,0.0844176,0.644144,0.800191
-24.9087,0.45071,0.00441821,10,1023,0,30.1422,0.555467,0.67195,0.0351763,0.816829,0.855588,0.987766,0.758378,0.322261
-22.3882,0.999979,0.00441821,9,511,0,29.0304,0.762577,0.456863,0.0977851,0.800792,0.249365,0.898682,0.569526,0.142798
-21.1423,0.89388,0.00441821,9,511,0,23.9377,0.312415,0.511974,0.711324,0.199811,0.825552,0.594989,0.742188,0.169435
-21.9143,0.940572,0.00441821,9,511,0,24.2692,0.227187,0.429685,0.625712,0.0601746,0.12191,0.177194,0.467393,0.959541
-18.8674,0.227992,0.00441821,9,1023,0,23.3353,0.3799,0.600048,0.599179,0.637417,0.203151,0.110529,0.565188,0.768839
-18.8792,0.690217,0.00441821,9,511,0,19.8789,0.374689,0.741183,0.613152,0.686219,0.193457,0.139591,0.520792,0.749561
-20.0283,0.87312,0.00441821,9,511,0,23.6806,0.458424,0.770415,0.722457,0.233036,0.386593,0.617855,0.690555,0.326539
-22.1234,0.658433,0.00441821,9,511,0,22.9788,0.836439,0.378123,0.575398,0.736481,0.482619,0.155065,0.427416,0.968179
-22.0247,0.288013,0.00441821,9,767,0,29.5022,0.903831,0.371952,0.50421,0.737315,0.458637,0.132631,0.444792,0.94347
-23.9838,0.658853,0.00441821,10,1023,0,27.944,0.839874,0.181982,0.0846679,0.844668,0.767803,0.0731884,0.367984,0.927669
-23.1152,0.777408,0.00441821,9,511,0,25.581,0.807732,0.239759,0.182824,0.871011,0.754358,0.0510116,0.36633,0.890389
-23.6211,0.97553,0.00441821,10,1023,0,27.406,0.25209,0.939987,0.735492,0.88595,0.868181,0.950632,0.522972,0.71508
-20.3121,1,0.00441821,9,511,0,26.0748,0.349041,0.462047,0.674845,0.0894465,0.852355,0.693934,0.713361,0.374502
-19.9019,0.814329,0.00441821,9,511,0,23.2943,0.353942,0.517039,0.7096,0.128481,0.785794,0.760021,0.755461,0.504964
-20.504,0.962487,0.00441821,9,511,0,21.9725,0.396302,0.411254,0.321847,0.891784,0.327641,0.292264,0.265739,0.568069
-25.9135,0.655018,0.00441821,9,1023,0,30.4526,0.128564,0.0512961,0.758367,0.982125,0.422516,0.0252966,0.544461,0.42769
-23.4198,0.867385,0.00441821,10,1023,0,30.2697,0.753335,0.172326,0.966069,0.962065,0.651265,0.177115,0.408339,0.888833
-22.51,0.761743,0.00441821,9,511,0,27.8784,0.68662,0.708395,0.389889,0.112051,0.630714,0.440399,0.788041,0.181917
-19.405,0.855657,0.00441821,9,1023,0,21.7232,0.452512,0.426135,0.096675,0.0945843,0.556705,0.577498,0.589617,0.428456
-20.5617,0.548174,0.00441821,9,1023,0,25.2877,0.219102,0.47983,0.182225,0.0945671,0.155793,0.508167,0.520917,0.517869
-21.6502,0.637044,0.00441821,9,1023,0,25.213,0.123889,0.740774,0.367002,0.0589068,0.846234,0.553245,0.443667,0.527183
-21.7004,0.736631,0.00441821,9,1023,0,24.8459,0.345111,0.950362,0.331527,0.1139,0.775269,0.145443,0.617839,0.453789
-21.3832,0.799171,0.00441821,10,1023,0,25.4372,0.577212,0.0929886,0.912475,0.523422,0.396739,0.853015,0.438875,0.419469
-24.3975,0.795579,0.00441821,10,1023,0,27.5857,0.79076,0.621913,0.788578,0.00982159,0.471082,0.940389,0.450193,0.636587
-21.2262,0.999809,0.00441821,9,511,0,27.4497,0.387265,0.510273,0.811601,0.146455,0.63097,0.958124,0.743337,0.563357
-22.8786,0.646529,0.00441821,10,1023,0,25.9026,0.538001,0.146839,0.404234,0.980974,0.377307,0.0701943,0.443434,0.783308
-24.3772,0.715533,0.00441821,10,1023,0,28.2745,0.323287,0.918727,0.709809,0.29076,0.366255,0.00403624,0.622094,0.795582
-22.0737,0.557872,0.00441821,10,1023,0,28.5683,0.834605,0.392949,0.926707,0.885564,0.57111,0.104492,0.450329,0.934154
-22.6934,0.503391,0.00441821,9,511,0,25.3835,0.873708,0.381672,0.923793,0.919528,0.481059,0.134316,0.455082,0.956906
-22.1127,0.649808,0.00441821,9,511,0,26.0906,0.791987,0.285633,0.837625,0.767942,0.368382,0.111108,0.323039,0.897784
-23.0494,0.753915,0.00441821,9,511,0,26.1737,0.846978,0.243779,0.875416,0.769091,0.225589,0.0862412,0.326672,0.883123
-22.5006,0.192031,0.00441821,9,1023,0,26.4062,0.751245,0.200339,0.851154,0.899871,0.723998,0.360445,0.290646,0.968236
-23.4857,0.865767,0.00441821,9,511,0,25.6215,0.373425,0.42119,0.417107,0.15609,0.271305,0.701189,0.818141,0.141321
-20.4398,0.999999,0.00441821,9,511,0,24.2899,0.348707,0.5629,0.415225,0.0446505,0.469783,0.767941,0.699397,0.341443
-21.808,0.785482,0.00441821,9,1023,0,23.2881,0.331671,0.536592,0.359315,0.0482441,0.866828,0.914547,0.669909,0.615589
-21.4925,0.864709,0.00441821,9,511,0,25.2349,0.26848,0.665934,0.209794,0.169781,0.511544,0.925361,0.861475,0.230467
-18.706,0.519044,0.00441821,10,1023,0,24.4053,0.641885,0.638458,0.36102,0.51526,0.795218,0.912765,0.77927,0.190482
-18.8099,0.234187,0.00441821,10,1023,0,20.8543,0.695534,0.661743,0.332287,0.506442,0.833964,0.903189,0.742347,0.185198
-18.8044,0.28997,0.00441821,10,1023,0,23.5807,0.686998,0.665426,0.461786,0.31866,0.920795,0.797131,0.742114,0.234308
-19.2842,0.256805,0.00441821,9,767,0,21.1642,0.693928,0.623908,0.360207,0.340012,0.940344,0.80879,0.787533,0.277574
-21.7422,0.707043,0.00441821,9,511,0,26.6184,0.587101,0.224142,0.276313,0.0571012,0.86226,0.785348,0.856727,0.0459112
-21.442,0.58574,0.00441821,9,511,0,22.9963,0.602515,0.226025,0.348524,0.0670169,0.919766,0.710323,0.822225,0.043156
-21.5164,0.332307,0.00441821,9,511,0,23.7657,0.616892,0.280041,0.315169,0.0496528,0.906439,0.791492,0.846491,0.074606
-22.6108,0.390987,0.00441821,10,1023,0,26.7929,0.376873,0.451672,0.520486,0.83591,0.978582,0.0875556,0.324602,0.752084
-20.2636,0.612499,0.00441821,9,1023,0,25.1042,0.498592,0.659681,0.408291,0.430452,0.342022,0.125746,0.772159,0.652782
-22.3545,0.973609,0.00441821,9,511,0,24.5875,0.225096,0.980886,0.428006,0.521562,0.586232,0.132508,0.276689,0.653758
-20.6784,0.771205,0.00441821,9,511,0,25.0007,0.284671,0.966374,0.382008,0.619163,0.219145,0.115732,0.456759,0.746627
-20.0625,0.233825,0.00441821,10,1023,0,25.1508,0.546689,0.949237,0.240335,0.578682,0.539834,0.1876,0.554649,0.776692
-24.961,0.184544,0.00441821,9,1023,0,29.0331,0.891911,0.829689,0.532815,0.750432,0.959459,0.19369,0.266389,0.451919
-24.1742,0.769136,0.00441821,9,511,0,30.1003,0.879669,0.569437,0.519008,0.909111,0.949227,0.254368,0.36875,0.850119
-24.5363,0.463571,0.00441821,9,1023,0,29.6497,0.342689,0.0272447,0.79189,0.973582,0.267098,0.67061,0.541806,0.262126
-22.0545,0.987387,0.00441821,9,1023,0,31.5273,0.172252,0.913914,0.609605,0.923961,0.446797,0.37249,0.378654,0.750021
-20.8655,0.961809,0.00441821,9,511,0,25.5056,0.230763,0.914683,0.653675,0.890407,0.503422,0.355409,0.415131,0.548353
-21.3931,0.994823,0.00441821,9,511,0,23.8798,0.280536,0.277216,0.108233,0.0704864,0.906611,0.571493,0.782465,0.0635903
-21.6058,0.259509,0.00441821,9,511,0,22.3839,0.246705,0.244637,0.102191,0.0512058,0.876947,0.594247,0.779246,0.0684626
-24.2134,0.634417,0.00441821,9,511,0,25.4413,0.306906,0.114288,0.0754474,0.031387,0.815718,0.570797,0.905292,0.0499581
-24.5474,0.430917,0.00441821,9,511,0,27.7651,0.228975,0.0944796,0.0873536,0.024297,0.875173,0.649165,0.898795,0.0805254
-21.1754,0.567001,0.00441821,9,511,0,28.2099,0.351816,0.108592,0.0703254,0.144002,0.654919,0.631466,0.785688,0.0425964
-24.1923,0.225684,0.00441821,10,1023,0,29.6586,0.392797,0.157777,0.117516,0.0652711,0.205991,0.129344,0.835347,0.432845
-20.6973,0.999999,0.00441821,9,511,0,26.2619,0.276807,0.0804269,0.571483,0.404461,0.59764,0.096565,0.456862,0.51896
-20.479,0.852551,0.00441821,10,1023,0,22.9276,0.403451,0.899731,0.517525,0.553389,0.253923,0.899797,0.658416,0.644267
-23.9247,0.725793,0.00441821,9,511,0,27.3209,0.0952803,0.608168,0.977857,0.35486,0.671067,0.951725,0.395687,0.471015
-22.4685,0.907922,0.00441821,10,1023,0,27.5737,0.294995,0.0277539,0.819604,0.517286,0.3138,0.217356,0.777497,0.66429
-21.9177,0.742119,0.00441821,10,1023,0,26.4573,0.143741,0.565989,0.276109,0.474026,0.620154,0.818513,0.817169,0.271825
-23.0928,1,0.00441821,9,511,0,25.1643,0.624507,0.721838,0.782542,0.0327022,0.258825,0.0563978,0.285561,0.801053
-23.8207,0.342195,0.00441821,9,1023,0,27.8378,0.642734,0.792056,0.858277,0.0335361,0.239543,0.0619811,0.27327,0.848354
-23.8985,0.517195,0.00441821,9,1023,0,27.4282,0.781971,0.838584,0.879219,0.0471074,0.164768,0.0508392,0.390171,0.895599
-22.6781,0.464946,0.00441821,10,1023,0,27.6521,0.214411,0.0575771,0.378568,0.944913,0.868826,0.77714,0.701213,0.589433
-21.0697,0.747409,0.00441821,9,1023,0,24.86,0.395848,0.184332,0.544134,0.935359,0.722151,0.856979,0.702092,0.351037
-23.3094,0.993167,0.00441821,9,511,0,26.4897,0.0757743,0.0356232,0.637282,0.379408,0.782235,0.373003,0.84464,0.705758
-19.1325,0.877493,0.00441821,9,511,0,26.1664,0.78525,0.69731,0.562139,0.595696,0.748329,0.515618,0.623821,0.23268
-21.0625,0.944719,0.00441821,9,511,0,23.3683,0.414897,0.607591,0.293646,0.236682,0.393957,0.936872,0.629833,0.830354
-21.3348,0.588163,0.00441821,9,767,0,24.2075,0.308079,0.537544,0.1881,0.141724,0.227337,0.807625,0.624007,0.845217
-22.7928,0.921242,0.00441821,9,511,0,25.4562,0.544205,0.467325,0.760567,0.238928,0.782592,0.966588,0.456808,0.103473
-24.4421,0.68823,0.00441821,9,1023,0,32.7505,0.412322,0.635223,0.841589,0.146256,0.975028,0.896328,0.615437,0.156065
-22.9846,1,0.00441821,10,1023,0,25.9051,0.62911,0.407463,0.207016,0.400965,0.00957028,0.231253,0.682029,0.85386
-21.9253,0.453977,0.00441821,10,1023,0,27.6818,0.475658,0.958029,0.165774,0.116254,0.243512,0.805699,0.618648,0.459867
-22.014,0.809427,0.00441821,10,1023,0,26.6512,0.85554,0.362653,0.299638,0.981298,0.416836,0.811451,0.602171,0.581373
-23.1222,0.939393,0.00441821,10,1023,0,27.1919,0.446346,0.647384,0.558299,0.996347,0.675616,0.834215,0.656403,0.502918
-20.7677,0.843958,0.00441821,9,511,0,25.2364,0.853978,0.72706,0.593636,0.92042,0.142879,0.548246,0.532469,0.744189
-23.0898,0.691488,0.00441821,9,511,0,25.553,0.808961,0.801865,0.706701,0.126908,0.0873242,0.54663,0.515479,0.966249
-19.4777,0.774172,0.00441821,9,511,0,25.7294,0.753989,0.201536,0.709614,0.239935,0.396684,0.537364,0.670854,0.672027
-20.9551,0.999999,0.00441821,9,511,0,22.0111,0.599512,0.0863538,0.520859,0.846907,0.0933984,0.315755,0.502766,0.728617
-22.5467,0.953577,0.00441821,9,511,0,24.2988,0.7025,0.113082,0.83284,0.793256,0.0383593,0.223672,0.640576,0.880884
-21.9358,0.595307,0.00441821,9,1023,0,25.7012,0.347456,0.0952239,0.70043,0.861377,0.0464363,0.500309,0.654877,0.681177
-19.4139,0.857021,0.00441821,9,511,0,23.8294,0.417669,0.48356,0.66028,0.6735,0.23426,0.353769,0.705247,0.613587
-21.4477,0.991431,0.00441821,8,511,0,27.0011,0.453031,0.558401,0.820149,0.284795,0.0445947,0.491932,0.433355,0.325938
-19.8112,0.737366,0.00441821,9,511,0,22.8241,0.3789,0.632874,0.901567,0.417244,0.167625,0.420815,0.535519,0.509438
-26.6857,0.888914,0.00441821,9,511,0,28.5607,0.823922,0.0962225,0.98833,0.733536,0.542434,0.197535,0.762142,0.984083
-25.8647,0.29313,0.00441821,9,1023,0,32.6196,0.710674,0.117506,0.985343,0.532719,0.692947,0.25282,0.761962,0.986969
-25.638,0.150581,0.00441821,9,511,0,28.9477,0.720699,0.130608,0.983284,0.605005,0.641501,0.254334,0.772593,0.985069
-21.2585,0.682067,0.00441821,9,1023,0,29.3213,0.701929,0.854971,0.457015,0.575242,0.146952,0.74008,0.325768,0.497782
-19.8389,0.943675,0.00441821,9,1023,0,24.8527,0.326214,0.0839598,0.664884,0.524412,0.715416,0.529126,0.489297,0.606247
-20.577,0.720357,0.00441821,10,1023,0,24.0735,0.423176,0.91131,0.332253,0.188521,0.15582,0.458953,0.559354,0.310475
-22.0878,0.838012,0.00441821,9,1023,0,23.7936,0.328194,0.120009,0.634339,0.802839,0.964335,0.404495,0.589546,0.736198
-19.8353,0.784358,0.00441821,9,1023,0,23.9431,0.565613,0.467879,0.394716,0.478492,0.887109,0.344031,0.531801,0.0574097
-20.5283,0.311761,0.00441821,8,511,0,22.8052,0.699001,0.507687,0.235624,0.685979,0.911189,0.340321,0.499348,0.0795721
-21.5733,0.0996864,0.00441821,8,511,0,26.2594,0.691679,0.486349,0.323545,0.750999,0.856234,0.332198,0.48403,0.09843
-22.7581,0.988703,0.00441821,9,511,0,24.5252,0.553191,0.613221,0.0520001,0.257244,0.0321435,0.178891,0.617072,0.837582
-18.7939,0.985975,0.00441821,9,511,0,24.2811,0.535647,0.551631,0.495824,0.436999,0.241046,0.491864,0.544385,0.90489
-18.6252,0.36718,0.00441821,8,511,0,19.8841,0.551517,0.557071,0.618169,0.452171,0.16826,0.425379,0.485549,0.908409
-19.3232,0.605098,0.00441821,9,1023,0,23.9441,0.582619,0.53912,0.591713,0.443783,0.188627,0.418744,0.451655,0.914067
-24.5468,0.555749,0.00441821,10,1023,0,26.8964,0.235636,0.750991,0.270189,0.267826,0.0834951,0.428528,0.379784,0.14089
-23.3893,1,0.00441821,9,1023,0,27.0448,0.11862,0.568788,0.0759447,0.806092,0.649391,0.284273,0.743119,0.872052
-24.1133,0.999999,0.00441821,9,1023,0,26.5282,0.270711,0.595616,0.537899,0.123051,0.376315,0.299026,0.216828,0.157419
-24.4993,1,0.00441821,9,511,0,28.4513,0.0431839,0.718558,0.339756,0.870967,0.0874354,0.101076,0.620824,0.846659
-25.0229,0.73366,0.00441821,8,255,0,29.4637,0.0375165,0.873442,0.302882,0.758071,0.0384553,0.0778375,0.624662,0.349596
-25.2158,0.70509,0.00441821,10,1023,0,31.3799,0.129806,0.0960845,0.679947,0.220539,0.725725,0.00237092,0.530346,0.687526
-25.1787,0.99023,0.00441821,10,1023,0,30.1349,0.267561,0.924335,0.0944868,0.709154,0.512451,0.997313,0.603962,0.417033
-27.5794,0.921348,0.00441821,9,1023,0,31.0595,0.572331,0.800293,0.0125676,0.388661,0.441699,0.997383,0.593044,0.124529
-27.7436,1,0.00441821,9,511,0,30.4988,0.543171,0.970031,0.0363031,0.348911,0.851326,0.994082,0.821432,0.713556
-27.2309,0.920795,0.00441821,9,511,0,30.3895,0.484085,0.936784,0.0545149,0.426903,0.869822,0.987134,0.83995,0.821034
-25.3597,0.677151,0.00441821,9,1023,0,30.4558,0.385671,0.968797,0.218895,0.578984,0.873632,0.984196,0.861876,0.446159
-26.5325,0.83376,0.00441821,10,1023,0,32.6264,0.0974726,0.0961921,0.0382737,0.647535,0.965264,0.982585,0.724383,0.557839
-22.2371,0.713571,0.00441821,9,511,0,29.1062,0.229306,0.55622,0.384496,0.825924,0.662835,0.986338,0.705572,0.498108
-21.2713,0.639356,0.00441821,9,1023,0,27.4592,0.966265,0.436175,0.536476,0.349781,0.296519,0.155465,0.702018,0.380934
-22.2294,0.716126,0.00441821,10,1023,0,24.2803,0.955276,0.221489,0.215028,0.911901,0.520746,0.587922,0.662433,0.816789
-20.7642,0.99175,0.00441821,9,511,0,25.3078,0.961914,0.449977,0.39385,0.264532,0.563098,0.17329,0.5167,0.524013
-21.3276,0.883227,0.00441821,9,1023,0,25.1703,0.325056,0.546034,0.976599,0.424328,0.332083,0.857809,0.616821,0.614461
-19.3241,0.855323,0.00441821,10,1023,0,23.5502,0.657213,0.472151,0.529169,0.197864,0.63313,0.134473,0.566995,0.62084
-18.9693,0.605454,0.00441821,9,511,0,22.8379,0.611547,0.450074,0.432886,0.268566,0.455127,0.371992,0.527734,0.844486
-20.3097,0.85888,0.00441821,9,511,0,23.9372,0.275734,0.325467,0.896251,0.690973,0.577497,0.655386,0.757432,0.691598
-20.9804,0.982138,0.00441821,9,511,0,22.4951,0.345834,0.772573,0.937337,0.839356,0.713266,0.563475,0.718416,0.531875
-19.5938,0.928618,0.00441821,9,1023,0,21.5933,0.679794,0.338026,0.678012,0.126416,0.382086,0.527231,0.444168,0.5508
-21.7261,0.999418,0.00441821,9,511,0,22.38,0.34948,0.438177,0.615114,0.949936,0.0314324,0.201186,0.570632,0.858298
-23.661,0.72373,0.00441821,9,511,0,25.3163,0.352846,0.34553,0.467682,0.971522,0.0264548,0.187711,0.624191,0.934568
-21.0304,0.694308,0.00441821,9,511,0,26.6185,0.55081,0.0977194,0.267476,0.055499,0.355591,0.424501,0.491895,0.538462
-22.1586,0.757081,0.00441821,9,1023,0,25.9479,0.689992,0.0713703,0.585844,0.0348302,0.191021,0.303194,0.641089,0.610097
-24.3687,0.932071,0.00441821,10,1023,0,27.7008,0.973103,0.207629,0.338111,0.970895,0.430995,0.839894,0.495716,0.858885
-28.4423,0.999993,0.00441821,10,1023,0,34.8888,0.86299,0.994227,0.35469,0.827269,0.990932,0.978041,0.642219,0.482194
-33.5765,0.770403,0.00441821,10,1023,0,35.8501,0.406196,0.998314,0.443825,0.968779,0.991377,0.995294,0.296888,0.511984
-22.0498,0.612573,0.00441821,10,1023,0,37.9546,0.580209,0.110636,0.833672,0.121621,0.795877,0.640002,0.821608,0.719361
-21.1845,0.564389,0.00441821,10,1023,0,25.5664,0.718228,0.898499,0.158155,0.92117,0.233951,0.370393,0.45835,0.858158
-23.6893,0.528679,0.00441821,10,1023,0,28.1354,0.504422,0.725658,0.818421,0.988671,0.787837,0.911472,0.612747,0.40371
-25.1307,0.299099,0.00441821,9,1023,0,28.2345,0.50075,0.656942,0.726403,0.993696,0.869927,0.961648,0.546047,0.748132
-24.0719,0.838956,0.00441821,10,1023,0,28.52,0.736377,0.31782,0.197937,0.00959724,0.0634846,0.892896,0.704511,0.335277
-18.9252,0.813264,0.00441821,9,511,0,25.0034,0.355002,0.660297,0.255337,0.176552,0.426607,0.770458,0.740408,0.435777
-23.0902,0.570114,0.00441821,9,511,0,24.7989,0.449734,0.774933,0.229845,0.148258,0.0375979,0.157678,0.308842,0.686514
-24.4951,0.795889,0.00441821,9,511,0,26.127,0.305457,0.781455,0.069081,0.0610114,0.0433052,0.180457,0.338743,0.695774
-23.2191,0.47634,0.00441821,10,1023,0,29.044,0.835863,0.295583,0.354633,0.880418,0.956912,0.827198,0.683479,0.83028
-20.4616,0.889735,0.00441821,9,511,0,26.0457,0.6701,0.0861085,0.387957,0.491978,0.126467,0.301801,0.606031,0.254417
-22.4683,0.955544,0.00441821,10,1023,0,24.5668,0.438068,0.91097,0.697104,0.146743,0.88701,0.882523,0.435447,0.340075
-20.9754,0.999999,0.00441821,9,1023,0,25.1607,0.0928082,0.782533,0.819314,0.483548,0.5113,0.777469,0.584259,0.776672
-21.4058,0.976852,0.00441821,9,511,0,24.1886,0.159381,0.319997,0.74927,0.836851,0.267715,0.312304,0.76303,0.329688
-25.7605,0.779014,0.00441821,10,1023,0,29.6927,0.249812,0.545977,0.997969,0.208921,0.638931,0.680818,0.297322,0.320365
-26.1552,0.998585,0.00441821,10,1023,0,32.4548,0.00701895,0.474786,0.0172173,0.780304,0.269233,0.317568,0.826852,0.578109
-25.9004,0.496729,0.00441821,10,1023,0,33.4779,0.341539,0.720173,0.00313221,0.611094,0.119565,0.100265,0.560113,0.303447
-20.3389,0.496695,0.00441821,10,1023,0,26.5521,0.550041,0.532335,0.333808,0.546462,0.894362,0.89846,0.651241,0.025747
-20.2287,0.110749,0.00441821,8,255,0,22.0105,0.556737,0.542936,0.329439,0.531015,0.893002,0.898268,0.655669,0.0285928
-25.3774,0.165171,0.00441821,9,511,0,27.7472,0.880292,0.726074,0.786935,0.975718,0.855365,0.60772,0.778023,0.965176
-25.1931,0.592773,0.00441821,9,511,0,29.4743,0.956654,0.885338,0.752603,0.913038,0.53012,0.671237,0.493916,0.985737
-23.9342,0.974747,0.00441821,10,1023,0,28.2161,0.553089,0.875882,0.943953,0.235783,0.288594,0.083022,0.597692,0.25634
-20.0672,0.892026,0.00441821,9,511,0,27.3299,0.686888,0.168681,0.765589,0.890317,0.392608,0.43957,0.545453,0.912922
-20.0663,0.235697,0.00441821,9,1023,0,25.5936,0.650625,0.140458,0.754289,0.886496,0.419713,0.510305,0.567175,0.906866
-21.8527,0.305847,0.00441821,9,511,0,24.6193,0.149049,0.869003,0.333345,0.178166,0.948874,0.328316,0.493104,0.590008
-21.0641,0.792183,0.00441821,10,1023,0,26.644,0.755082,0.368803,0.162567,0.933663,0.463322,0.53999,0.375428,0.47771
-19.3943,0.972185,0.00441821,9,511,0,22.1919,0.710904,0.780496,0.290144,0.66585,0.305362,0.229573,0.608188,0.781207
-22.4361,0.815668,0.00441821,9,511,0,23.2861,0.798489,0.610714,0.0623754,0.775456,0.213256,0.171089,0.562869,0.926495
-20.383,0.750508,0.00441821,10,1023,0,29.5638,0.485411,0.586748,0.0866616,0.349521,0.319088,0.134083,0.439663,0.799691
-28.0959,0.417197,0.00441821,10,1023,0,29.6203,0.257921,0.0821387,0.0209191,0.650714,0.575398,0.994623,0.78243,0.0604313
-28.4147,0.999998,0.00441821,9,511,0,29.7416,0.219644,0.0488015,0.00764276,0.16738,0.446501,0.996255,0.796461,0.038668
-25.5579,0.256326,0.00441821,10,1023,0,36.872,0.950505,0.962116,0.191912,0.949093,0.113975,0.165288,0.572168,0.376261
-24.8965,0.739717,0.00441821,10,1023,0,30.0339,0.981574,0.939694,0.0732433,0.581877,0.175988,0.26225,0.512561,0.149019
-26.6105,0.822135,0.00441821,10,1023,0,31.5633,0.977718,0.120196,0.872752,0.806106,0.0438125,0.914243,0.642048,0.912401
-17.5503,0.847452,0.00441821,9,511,0,27.0594,0.577927,0.421225,0.569902,0.480713,0.619237,0.629932,0.526671,0.18508
-19.189,0.400457,0.00441821,8,511,0,21.1908,0.682663,0.636101,0.565309,0.578383,0.660023,0.803848,0.540127,0.0873106
-19.3892,0.990612,0.00441821,9,511,0,20.306,0.63541,0.574895,0.602939,0.300902,0.381079,0.499692,0.734907,0.817825
-23.3782,0.544659,0.00441821,9,511,0,25.9338,0.7126,0.917829,0.731322,0.69352,0.721539,0.393009,0.444329,0.121267
-19.6834,0.58379,0.00441821,9,1023,0,23.0931,0.609898,0.218314,0.0892775,0.334652,0.685141,0.778375,0.773472,0.535299
-18.7197,0.470353,0.00441821,9,1023,0,25.0778,0.630002,0.310807,0.142611,0.345575,0.713025,0.763762,0.789001,0.422588
-18.4354,0.310735,0.00441821,10,1023,0,21.9549,0.607994,0.295896,0.136119,0.461524,0.698639,0.765393,0.765103,0.381333
-18.4487,0.543698,0.00441821,9,511,0,22.9633,0.640966,0.324495,0.0864259,0.537072,0.672987,0.723458,0.66809,0.302351
-23.6411,0.474912,0.00441821,9,511,0,26.2755,0.898573,0.825654,0.906774,0.498931,0.0192512,0.311075,0.466342,0.850338
-23.8453,0.472574,0.00441821,9,511,0,27.0721,0.82187,0.613565,0.944148,0.558506,0.0878324,0.736402,0.356273,0.970515
-23.2253,0.282604,0.00441821,9,511,0,30.6907,0.893009,0.810852,0.920177,0.646274,0.307618,0.494538,0.405181,0.980248
-23.9044,0.356908,0.00441821,10,1023,0,29.3894,0.916721,0.149883,0.291605,0.115385,0.478349,0.857384,0.737592,0.0471394
-26.7073,0.566357,0.00441821,9,1023,0,31.5537,0.977024,0.63231,0.464475,0.647867,0.518762,0.138484,0.239587,0.974569
-25.657,1,0.00441821,9,511,0,29.0513,0.982098,0.682744,0.435316,0.809655,0.711501,0.230817,0.331421,0.976089
-23.6856,0.92048,0.00441821,9,1023,0,28.5102,0.993959,0.757314,0.25562,0.560442,0.14261,0.342423,0.725983,0.670062
-22.997,0.982929,0.00441821,10,1023,0,25.2117,0.994811,0.435286,0.161535,0.619268,0.406462,0.808047,0.544506,0.422163
