# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf20_model
# start_datetime = 2023-07-05 17:05:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf20.data.r
# init = 2 (Default)
# random
#   seed = 774767535 (Default)
# output
#   file = examples\cf\cf20_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mean
-20455.6,0.941679,0.00105802,10,1023,0,20469.7,-2.80194,0.119665,-2.40809,5.65494,3.39787,8.80421,-8.22469,1.91416,4.12124,5.79349,0.177817,5.60516,-7.64797,-3.42005,-3.80216,0.155806,1.87742,-4.07834,3.33016,8.24496,-0.497108,5.61887,1.30771,0.0800916,-1.33436,8.04246,-12.4872,2.09114,-4.66494,-6.26465,-3.60142,-0.523043,-5.99141,-9.02554,7.13135,-6.33108,-1.16035,-5.33976,1.82653,-2.49664,-0.0225517,73.5685
-20451.7,0.795135,0.00105802,10,1023,0,20474.9,4.86139,-4.45747,-0.946635,6.07252,2.0935,9.8384,-4.99418,5.1572,3.54214,5.14372,4.94876,4.08227,-0.567648,-4.17275,-1.85987,3.77505,2.12838,-1.72042,3.09305,7.93619,2.72604,3.71717,-0.703701,3.77712,-5.55767,1.31002,-11.2597,-4.02195,-1.17643,-2.95484,0.942169,-6.14601,-4.8924,-5.09458,8.25377,-4.24073,-2.79574,-3.41751,5.85607,-1.35997,-3.13469,73.8243
-20451.7,0.987877,0.00105802,10,1023,0,20475,0.726559,0.256242,-1.48159,7.86586,3.59374,8.26788,-9.30677,3.55072,4.95512,6.518,2.03309,7.89851,2.67885,2.38345,3.40911,3.98096,1.20243,-3.18548,2.28099,2.48843,1.74812,5.19878,-1.82785,4.42797,-4.23032,1.96205,-9.55825,0.38769,-0.132461,-3.07193,0.546207,-9.0636,-7.97603,-2.36429,3.14957,-4.85675,-0.870737,0.203291,8.96896,1.60297,0.0479382,73.6695
-20448.7,0.923,0.00105802,10,1023,0,20466.6,-1.90482,-0.0556495,3.09107,5.76452,7.91423,5.0789,-6.1971,3.89218,4.28174,6.46565,-2.17961,4.80415,3.02528,0.329325,5.60618,3.24755,-1.56244,-7.52286,2.64954,3.77297,0.484255,6.99753,-4.89622,2.79967,3.78477,2.95647,-4.50737,4.35153,-5.9939,-1.08971,-2.00344,-5.19134,-4.82528,1.12267,4.06285,0.0986877,-1.70099,-0.83989,6.78492,-0.114865,-1.93254,73.5841
-20456.7,0.936372,0.00105802,10,1023,0,20485.2,-5.79186,-0.277354,9.05644,1.38933,5.23275,5.29658,-4.19908,0.156848,6.31614,6.88905,-1.02923,3.83836,4.55918,2.44923,1.5607,7.21786,-7.71636,-3.02258,2.5445,7.75991,-0.652952,0.549875,-8.18586,-2.74523,0.0267077,6.53281,-3.84118,7.31281,-7.34789,2.91321,-4.18316,-4.18512,-4.3507,3.35775,8.17024,-5.30804,-6.46518,-1.82291,8.91431,-1.0717,-2.83948,74.0714
-20453.6,0.996642,0.00105802,10,1023,0,20482.5,-0.267209,-2.67502,10.086,2.38416,5.08216,7.39767,-3.00629,1.83932,7.55743,2.68965,-0.434217,4.74969,4.05199,-1.6656,5.81987,6.30077,-7.36017,-6.83283,-1.23756,4.15843,3.92541,-3.8445,-4.81387,-5.41434,-1.82071,2.33015,-4.89599,7.1997,-6.9194,2.39938,-1.63702,-3.32144,-2.98172,2.52844,10.3264,-2.17683,-7.83845,-1.6476,5.63145,-2.27877,-4.6759,73.7988
-20459.2,0.712521,0.00105802,10,1023,0,20474.6,-1.62029,-3.46189,11.171,1.22979,6.86821,8.99326,-2.0042,1.01169,7.81319,2.39236,-0.289729,5.05716,3.74287,-3.01857,7.63874,5.93959,-7.82361,-5.07109,-2.03842,3.50388,3.10359,-4.38661,-5.78621,-5.0179,-3.13464,3.98331,-4.92315,7.89698,-8.44195,2.17316,-0.280961,-3.92595,-2.5034,2.32218,10.9944,-2.14493,-6.18647,-2.60175,6.00839,-2.30684,-6.99038,74.1163
-20459.9,0.514279,0.00105802,10,1023,0,20486.6,-1.56453,-3.15928,11.5896,0.919532,7.3149,9.28258,-3.13143,1.52337,7.22386,2.74297,-0.446614,4.75647,3.95197,-2.01373,7.03468,5.49026,-7.97036,-4.86113,-1.43536,3.67688,3.33187,-3.85789,-5.56676,-5.65337,-2.77887,4.07477,-5.21901,8.48667,-8.84445,3.15083,-0.182815,-2.88943,-1.75542,2.14718,10.7283,-1.42379,-6.42878,-2.7652,5.84321,-1.84006,-7.93158,74.1401
-20463.3,0.992613,0.00105802,10,1023,0,20482.4,-2.34994,-6.27217,11.9234,3.91743,9.73354,7.93641,-5.36277,3.95825,9.92806,2.9845,-0.596613,1.01891,1.49465,2.53454,6.71502,1.84747,-1.94521,-8.22332,-4.06679,1.02687,7.12194,-1.44667,-8.27189,-4.32818,-3.46805,-0.462797,-5.93774,9.62961,-6.10276,2.54149,1.65585,-5.75093,-1.78152,-4.18768,16.4146,-3.71917,-5.12336,-4.10494,1.58138,-1.4249,-10.1507,73.8309
-20452.3,0.967492,0.00105802,10,1023,0,20479.4,-4.41069,-6.1232,9.36156,0.748845,6.70213,4.69111,-3.5804,7.30379,6.5988,4.88481,2.62529,3.33712,2.19175,-4.58494,2.6016,-3.16133,-0.141536,-5.38799,-3.84987,0.224592,0.22182,-1.91326,-1.78329,-14.4737,-0.95443,-2.05353,-2.2837,1.29803,-3.7467,-1.18348,7.47802,-0.181141,-0.150443,0.659882,8.91444,-3.73114,-1.81069,-7.24663,0.170134,0.0895678,-4.05826,73.8676
-20450.4,0.999466,0.00105802,10,1023,0,20473.5,-3.62497,-6.31943,6.72733,2.97217,7.22587,5.81646,-4.99342,5.62757,6.29057,5.1607,0.474534,2.22718,2.79059,-4.67719,1.3873,-4.41134,-0.256614,-4.93524,-3.40205,-0.947234,0.593377,-2.10663,-0.81684,-12.9942,-1.4028,-1.02911,-6.29374,-0.747621,-1.55105,0.0401315,1.90975,2.93991,3.84696,1.37017,6.75813,-4.6702,-1.14442,-8.84259,3.05527,-1.6097,-2.84379,73.8575
-20452.5,0.953027,0.00105802,10,1023,0,20466.5,-1.43328,-6.93743,5.63153,7.46497,4.20015,8.98176,-5.57643,6.07148,5.58095,1.52278,1.20433,-3.23302,1.57621,-8.78069,4.27704,-5.36719,-1.29855,-2.37536,-1.77009,0.364288,-3.23371,-2.8018,-2.01973,-13.4403,-0.83909,-2.95575,-6.78429,-1.90044,-1.93433,-0.864576,1.87859,0.197129,-1.48858,1.22869,-1.28557,-5.55915,-0.106522,-11.0585,2.47295,-2.23544,-2.98733,73.8073
-20460,0.987387,0.00105802,10,1023,0,20475,-0.140793,-6.0606,7.7568,10.1518,4.82774,11.8338,-6.58919,5.52783,7.395,0.859555,3.56644,-4.62098,1.734,-11.0182,3.42834,-4.37194,-0.266846,-2.10582,0.50675,0.831023,-3.10197,-0.978884,-4.08295,-11.7544,3.41687,-3.15974,-7.7407,2.15384,-2.40146,0.345032,5.07966,3.95015,-1.14655,3.97662,-5.61119,-4.77784,1.18102,-14.0871,3.04951,-3.01024,-6.04906,73.7708
-20462.1,0.832482,0.00105802,10,1023,0,20478.1,0.590921,-9.15842,6.28737,8.8072,5.02507,11.4188,-6.01215,6.65121,7.4214,2.45907,6.5379,-4.44061,1.28996,-11.7443,3.6326,-3.47938,-2.98391,-4.55314,1.05887,0.377467,-2.72099,0.920363,-4.97756,-12.1801,3.42788,-3.31155,-9.97802,1.19412,-3.98594,1.22882,5.48274,0.0821547,0.620231,1.77747,-6.39927,-4.72464,-0.793831,-13.5867,3.36229,-2.26501,-5.00136,73.6506
-20463.2,0.993075,0.00105802,10,1023,0,20474.9,0.784696,-7.11732,5.69086,9.0915,2.98486,11.9271,-7.49895,6.62165,7.68435,2.18145,6.47902,-4.39613,0.931995,-12.3504,3.37973,-3.28464,-0.806411,-5.60187,1.88241,-1.24313,-2.73216,2.4388,-4.80614,-13.8789,2.53012,-3.95561,-11.1382,-0.0334355,-2.37849,-0.0356461,5.34859,-0.294302,-0.404338,0.79578,-5.85809,-3.6891,-3.09493,-14.2776,3.33282,-2.60537,-3.28419,73.8879
-20461.3,0.995634,0.00105802,10,1023,0,20485.4,-3.93483,-4.5021,2.63076,11.6021,2.41906,6.40452,-6.83395,2.82867,3.76079,-0.943678,7.41981,-1.06588,2.21676,-6.1943,6.6314,-3.91538,-3.85349,-0.621982,-0.808044,-3.94904,-1.52145,6.82472,-3.45683,-14.519,-0.599271,-3.89086,-9.80038,0.755326,4.64149,2.6653,7.40706,0.924897,-1.00352,-2.11205,-2.09695,-9.33338,-0.863627,-16.2675,6.01548,-0.376068,-4.53394,73.8262
-20460.6,0.924373,0.00105802,10,1023,0,20477.3,-2.21584,-4.69239,2.28228,11.3043,2.29704,6.09849,-6.90557,3.04368,3.72613,-0.235615,7.83446,-0.889679,1.51369,-6.42184,5.96849,-3.42617,-3.86942,0.164035,-1.14404,-3.66466,-0.922402,6.89149,-2.97234,-14.3544,-0.312712,-4.01838,-10.2904,0.938113,5.32054,2.14428,7.68002,0.751538,-1.79185,-2.7458,-2.4821,-8.88234,-1.23341,-15.9136,6.26862,-0.27182,-3.96244,73.7787
-20459.8,0.998344,0.00105802,10,1023,0,20474.5,-2.38977,-5.90595,1.95369,12.3505,2.57052,5.85859,-4.41258,1.1537,3.34562,-1.8015,6.15942,-0.90539,4.38015,-6.12132,5.82212,-2.11119,-2.89948,1.14013,-0.784194,-2.83623,-1.85412,8.15782,-3.78488,-11.1288,-1.55733,-2.93384,-10.9741,1.06295,4.86939,3.61143,8.85893,-0.687945,-5.60693,-5.61563,-3.08268,-9.67384,-0.643283,-13.8199,7.31816,-2.22308,-2.37424,73.7912
-20456.4,0.742189,0.00105802,10,1023,0,20478.9,-2.37224,-2.40928,-0.311241,7.99563,3.1126,12.152,1.39527,5.04727,5.30736,-3.68951,2.259,2.17798,7.5869,2.2781,1.32675,-4.24645,-3.18118,0.468149,4.88951,-5.71991,-1.6536,7.73293,-1.41342,-16.2773,2.32126,-4.34347,-2.70948,3.23559,7.45514,0.2152,9.45625,2.48762,0.679191,-3.91985,-3.6379,-6.42888,-3.42908,-6.53563,4.01136,-1.32869,-1.00998,73.8399
-20457.6,0.982231,0.00105802,10,1023,0,20481.4,2.04932,-0.984324,-3.51451,0.479955,10.5954,6.43713,3.13654,3.03529,6.29088,-1.82085,-4.04871,1.18536,3.3339,-1.5262,0.612309,-5.51213,1.88254,-4.93409,3.526,2.97592,-3.39485,8.93618,-3.19801,-7.11076,-3.07662,-3.09554,5.03457,7.17454,6.93557,-5.60787,9.23486,1.47832,10.9476,-7.27714,-6.69885,-11.5877,-2.10552,-2.22676,3.28979,5.44467,-5.35378,73.7175
-20450.1,0.984457,0.00105802,10,1023,0,20472.8,3.47168,-3.94473,1.70871,0.492333,7.44271,6.88258,0.42097,0.861144,6.67638,-0.756546,4.61308,-2.43913,2.78324,-1.43642,-1.02309,-3.75307,2.57154,-4.60445,4.64107,6.42541,-2.33178,3.62986,0.142928,-6.60833,-5.71419,1.88364,3.06269,5.47089,4.51207,-2.44727,7.0699,2.7637,4.98888,-3.07694,-2.91528,-12.5699,-0.509424,0.228994,3.31778,6.66991,-3.65582,73.7328
-20454.8,0.909522,0.00105802,10,1023,0,20474.3,-1.65473,-6.68063,-2.96692,2.71669,5.82348,11.6864,-0.285286,2.04181,6.56528,-1.73732,0.90437,-3.9531,3.85485,0.293942,-1.15814,-4.15964,3.43796,-1.88209,5.88968,4.7371,-1.91759,8.35844,4.44503,-6.4681,-7.04736,-1.33879,6.06588,3.24117,6.88097,-6.25104,4.33519,0.192594,3.73669,-3.81135,-6.05897,-10.4389,-1.29118,2.92039,0.415752,10.4881,2.67134,73.698
-20456.2,0.994407,0.00105802,10,1023,0,20473.8,-2.38909,-7.63233,-1.25834,1.70865,4.24982,7.21907,-1.70294,-0.320778,5.44973,-1.29255,-0.849719,-4.37054,3.91509,1.25665,2.86574,-3.95158,3.26157,-1.40999,6.54925,5.97222,-0.604265,7.10988,4.76268,-7.33126,-8.67639,-0.317236,10.3197,5.62643,10.5792,-7.70912,6.51781,1.98353,2.57876,-6.50553,-6.67407,-7.24042,0.923948,1.95099,1.10076,9.06885,1.69212,73.8028
-20455.2,0.978731,0.00105802,10,1023,0,20476.4,2.67759,-4.07537,0.940492,0.845643,3.54541,7.93818,-4.1294,-2.71671,5.90475,-2.78352,0.213645,-10.0186,-0.631469,-0.497044,3.79913,-5.11314,6.62749,-4.4724,4.20601,6.66854,-2.30761,0.24735,1.36418,-8.66437,-7.19903,-3.65567,6.01305,9.70635,3.50308,-7.73855,6.27707,-4.15475,-0.894687,-7.73915,-4.85496,-5.50234,-0.406896,4.90858,4.90292,6.32321,4.10609,73.6761
-20447.8,0.996369,0.00105802,10,1023,0,20478.3,5.64961,-2.10611,1.13195,5.14696,3.90439,6.18946,-1.19579,0.127748,6.47797,4.18762,-2.20494,-9.25296,2.72134,3.99443,3.13408,-2.97215,2.97791,1.49638,3.49015,2.01433,1.35137,1.39169,5.57262,-7.44088,-9.04973,-0.419978,7.25645,0.104777,2.6233,-5.52028,2.74234,-1.50531,-2.63962,-6.85756,-0.66798,-0.391914,3.71775,0.322451,3.29002,2.48978,0.676337,73.7108
-20447.2,0.927081,0.00105802,10,1023,0,20464.7,5.30636,0.206771,0.902469,6.57442,3.87526,4.19377,-0.93316,-2.43967,6.26516,4.03616,-4.55259,-9.2518,1.434,-2.46561,0.423025,-5.25905,1.42173,0.924889,3.79325,2.23885,1.07635,3.30627,6.5816,-4.75016,-9.44143,1.8428,6.32556,-0.179172,1.43027,-5.40329,1.70882,-1.34018,0.873039,-6.16306,1.07328,3.51571,1.97722,-3.71477,1.46776,-1.10066,1.32615,73.6358
-20446.1,0.997706,0.00105802,10,1023,0,20474.3,5.27655,0.120102,-1.07759,2.15992,3.06348,1.84931,-0.714901,-1.55892,2.89711,5.71293,-5.46251,-8.47766,1.71219,-0.901205,1.0556,-6.80982,2.13866,-1.06244,2.46877,3.50886,3.87501,2.10528,3.93081,-4.20081,-12.6341,0.363659,3.73717,-1.86776,3.19513,-4.4779,1.00649,2.02702,4.1536,-2.33901,1.54056,0.478431,1.18337,-5.43468,1.83944,3.58985,2.77638,73.6881
-20444.9,0.968944,0.00105802,10,1023,0,20462.2,3.64577,5.04493,-3.69267,4.23303,1.79188,2.96268,1.07807,-2.2704,3.68856,7.1532,-6.90921,-5.7923,2.48948,3.32902,3.10356,-2.81249,0.471825,-0.767663,3.80962,4.18156,3.18383,4.2975,4.0291,-2.61345,-7.28056,1.30442,3.50367,-2.14131,2.26232,-5.1066,0.127645,-0.0176408,5.25601,-4.73861,-1.29153,0.8544,1.67439,-3.89487,-0.0287721,2.8889,4.64122,73.8001
-20445.8,0.788815,0.00105802,10,1023,0,20465.7,2.02847,3.29224,-3.99113,2.41337,-0.853549,0.376162,0.290035,-0.463569,3.51167,5.2808,-4.09263,-10.1216,4.84795,-0.510692,1.87649,-2.60993,-1.27822,-0.179082,0.246951,1.6521,2.13301,3.22263,2.63806,-0.26714,-8.54834,-1.49483,4.58713,1.614,1.17135,-3.35322,6.71877,-1.13064,4.1063,-1.59852,-5.68486,3.44877,3.87074,-4.75635,3.1335,3.97736,0.0548333,74.0109
-20445.5,0.930909,0.00105802,10,1023,0,20472.2,2.23095,-0.369815,-4.24716,0.57179,-0.657768,2.02955,-3.85814,1.69866,0.251577,6.85656,-3.98883,-7.31216,1.22069,1.46047,3.8462,2.20229,3.40073,1.11269,1.09285,0.916591,2.37768,0.475121,4.46979,1.79097,-6.1639,-2.46738,-1.24776,2.57616,-4.4398,-3.03509,9.37772,0.220388,4.30895,-6.53935,-2.15949,-0.282606,0.013743,-5.6081,-1.41871,1.04704,1.98261,73.4794
-20445.4,0.997826,0.00105802,10,1023,0,20457,-0.922911,0.0838818,-5.10256,-4.1028,0.169007,-0.841317,-3.67356,-2.59271,0.331919,3.94638,-8.16034,-6.64281,-1.3561,-0.0959935,0.722475,3.48709,-0.734957,-0.154245,1.16754,-0.0965223,-4.6329,-1.47987,1.18695,-3.34188,-3.74816,-2.92309,2.05132,0.0208637,-0.554982,-3.41585,5.98652,0.116106,7.75066,-6.35179,3.47181,-0.60335,5.01554,-6.98329,-3.52127,-0.167215,0.18176,73.5145
-20449,0.948726,0.00105802,10,1023,0,20467,1.87864,-0.738445,-1.8982,-7.24066,0.598363,-4.38874,-0.0826724,0.864649,-1.55856,-0.0480118,-8.64995,-8.14769,-4.18155,0.320762,-1.86987,3.41911,1.62978,1.12699,2.27171,-2.69564,-2.24696,-0.419675,4.03892,1.13454,1.08157,-2.19963,10.0584,-2.1748,-1.21269,-7.86302,1.87883,1.99292,10.4729,-6.03477,3.85658,-4.32164,1.33759,-5.54955,-5.36827,-5.24765,-0.20475,73.8926
-20462,0.958856,0.00105802,10,1023,0,20473.1,-0.436717,-2.36914,-1.04967,-0.441458,-1.90039,0.583314,6.53435,6.68103,-3.43322,-5.62439,-16.257,-5.80631,-0.85159,-3.0643,-5.50415,6.55526,2.92384,-4.86001,4.7045,-4.43486,-2.44776,0.303761,4.64414,2.39674,-5.15565,-0.618236,8.86423,-2.08047,-5.62928,-8.54859,3.60418,-8.35973,13.6945,-9.72945,3.16679,-3.86483,-3.67986,-10.2266,-2.65502,3.4286,-6.06699,73.7059
-20462.3,0.996809,0.00105802,10,1023,0,20480.6,-0.012587,-1.38545,-1.21154,-1.852,-1.50534,1.76711,5.10858,6.97593,-3.01401,-5.12888,-18.2371,-5.29731,0.366372,-1.07411,-6.89014,5.66686,1.4959,-4.72181,6.32267,-2.714,-4.25666,0.468668,3.83908,1.1257,-5.80727,-2.07714,11.1171,-2.50181,-5.2193,-9.10419,2.52605,-7.25633,13.6658,-9.47815,2.77331,-3.67855,-3.46978,-8.31668,-1.90412,3.49961,-4.6791,73.8003
-20462.1,0.709372,0.00105802,10,1023,0,20486,-5.24555,-3.12225,-6.93336,-0.593527,-0.286969,-0.810702,3.81238,7.80438,-4.28228,-6.93288,-18.8574,-4.89639,-1.68752,0.990963,-5.0847,5.36072,2.51688,-4.15015,4.84869,-1.51215,-7.87463,1.99421,7.55941,0.641534,-1.60704,-5.3244,11.7824,-4.26131,-2.78149,-4.60747,2.91741,-3.50841,12.4662,-7.31269,4.81618,-1.13027,-2.04005,-7.48338,-3.71153,2.58198,-3.38442,73.8947
-20459.5,0.490861,0.00105802,10,1023,0,20485.5,-2.84518,-0.894754,-6.08553,2.76838,0.489625,-2.62505,3.02916,6.53518,-5.89872,-8.13671,-17.532,-5.57864,-1.53879,1.28228,-2.17749,3.56612,0.260052,-6.46832,7.66029,0.16948,-6.97759,1.58344,9.35246,-0.955332,-1.21326,-5.1832,13.2307,-4.15835,-1.78846,-0.498861,4.64218,-2.07069,9.416,-5.83488,4.86619,-1.77259,1.02443,-4.06495,-6.02069,2.61445,-2.94849,73.8401
-20454.7,0.986461,0.00105802,10,1023,0,20479.3,0.31869,0.843833,-3.87259,3.99228,0.289336,-1.30135,0.651889,13.2253,-8.9633,-4.64336,-8.84266,-6.53292,-1.57967,-3.59536,5.53427,2.60371,0.310044,-7.9147,5.85833,5.85395,-4.93214,3.87724,9.44463,-1.8465,-4.67925,-1.01835,4.85037,-3.26703,2.50978,-3.41399,1.55111,0.33619,7.88746,-4.87224,4.6512,0.842897,3.12769,-7.45972,-4.99295,2.17952,-3.92253,73.8032
-20451.4,0.985228,0.00105802,10,1023,0,20468.5,-0.689522,-1.68104,-1.24191,4.17253,1.07849,-3.88843,-0.158814,9.0087,-10.6371,-2.05123,-7.75582,-3.89879,-1.89305,-3.79706,6.32409,3.04226,2.41907,-8.12653,5.4784,7.52369,-3.3777,1.43227,9.26925,-0.372398,-2.59811,0.678718,1.7742,0.243999,5.10014,-1.52125,2.34019,-1.26926,4.13994,-0.0943317,5.04892,1.59733,1.85388,-9.47444,-5.9518,2.21758,-3.50586,73.6917
-20448.1,0.983127,0.00105802,10,1023,0,20466.8,0.402053,7.88563,3.61488,-2.87481,4.43682,-3.77546,-2.60731,9.38427,-3.13663,-4.65263,-6.09834,-2.48763,1.93046,2.66861,4.6407,0.933012,0.787347,-6.15066,4.47259,8.81769,2.57993,3.94032,6.31995,-0.01424,2.28205,3.09573,5.58355,3.05469,3.89123,-0.535947,-0.482362,-6.29879,-0.277534,-2.83475,4.25341,-1.20017,-0.987751,-6.03932,-3.61223,0.155634,-3.0197,73.7853
-20449.8,0.999964,0.00105802,10,1023,0,20464.3,2.1215,3.63502,5.62931,-0.0621831,6.5864,-2.12813,-2.82262,10.7062,-1.56954,-3.47424,-6.58091,-3.58402,6.65964,3.06348,4.27614,3.37712,-0.177672,-5.51838,4.73241,7.07367,2.08288,0.695831,7.83476,-2.28507,3.85889,4.70704,0.0174938,3.45865,6.77932,-3.30705,-0.893291,-7.57273,1.19126,-1.07029,0.117561,-2.17001,-1.48119,-5.16126,-3.46995,-0.818166,-6.36545,73.7533
-20456.3,0.900551,0.00105802,10,1023,0,20474,5.52387,1.01529,9.40394,2.19735,6.47188,-1.02912,-4.7759,8.17197,-2.53205,1.61131,-4.43451,-0.0879615,7.40194,-0.69798,4.02425,4.83807,3.65661,-6.93059,11.0481,8.30474,1.16528,0.970855,11.2026,2.53589,5.84516,0.56825,-0.571716,3.50025,7.07904,-3.54855,0.692436,-3.83787,0.306193,6.49687,6.7869,0.56105,-0.723083,-8.89895,-1.09465,-5.52691,-5.56742,73.7924
-20457.4,0.929704,0.00105802,10,1023,0,20476.4,4.81286,0.902336,10.6901,2.60921,7.62403,-0.622231,-4.51212,8.85805,-2.49033,2.45921,-4.95762,0.820845,7.32852,-1.06499,3.68392,4.7109,3.83349,-6.8927,11.7593,8.365,1.31327,1.95745,10.6877,1.9709,6.08827,1.58794,-0.632888,3.44974,7.59554,-2.16399,0.210759,-3.98528,0.19279,7.03155,7.45394,0.455639,-0.373507,-7.92081,-0.634292,-5.14488,-5.79218,73.7778
-20456.3,0.988933,0.00105802,10,1023,0,20471.4,2.36641,-0.145234,11.2835,1.34724,6.19456,-0.233689,-5.1891,7.97923,-2.74085,1.32648,-6.042,2.48732,8.72823,-0.372739,5.59835,4.94858,2.56283,-6.14142,10.7037,8.83312,3.13214,1.46946,9.78804,1.08994,7.53843,1.62797,-0.420041,2.84411,6.79108,-0.772186,-0.478122,-3.71565,1.30332,6.74528,7.01623,0.373789,0.547537,-7.26677,-1.62644,-4.49709,-5.38295,73.8182
-20451.7,0.970515,0.00105802,10,1023,0,20478.1,1.4255,-4.36272,7.64803,-3.39468,-0.305475,-0.527085,2.50467,8.73281,5.94727,0.91587,-5.7188,-1.4748,4.78619,-0.722691,1.83555,1.95482,-1.10488,-8.49749,12.3652,0.665349,-3.8955,5.96555,2.52589,2.15695,5.47565,-0.563166,3.35461,2.41335,9.26665,5.95726,1.49166,-0.397627,-1.19822,7.7434,4.29618,0.827248,-3.55333,-0.431217,2.00846,5.77883,-5.4473,73.7117
-20447,0.999998,0.00105802,10,1023,0,20477.4,-1.32243,-1.50545,7.94321,-5.24445,-2.67825,-4.4324,4.60261,8.04254,2.90868,2.70721,-5.20548,0.711241,4.21427,1.31848,0.890356,-1.45945,1.60864,-5.25521,6.12959,2.09598,-2.96364,5.03074,2.03995,-1.57404,4.61373,5.18263,-3.55771,0.502423,7.24032,1.15167,2.19335,0.89027,-1.85658,5.00479,-1.37363,2.55468,-0.962497,-2.17395,8.71846,6.06664,-1.0829,73.7363
-20446.4,0.918333,0.00105802,10,1023,0,20468.2,-3.23259,3.40424,6.08977,2.77668,-1.21199,-3.71925,-4.08409,2.6493,6.75549,3.92583,-1.72375,-3.08572,6.45032,-3.56893,-4.99553,-4.5261,-3.13696,-1.46433,4.65579,1.85918,-2.25436,3.41108,4.75417,3.73579,5.54201,2.84004,-5.34642,4.61522,2.45725,6.01751,0.0532892,3.39588,-1.5993,0.287703,-5.12991,-3.20427,1.83598,-1.40307,8.37772,-0.369707,-2.21291,73.7847
-20451.8,0.981309,0.00105802,10,1023,0,20465.4,-4.76302,-2.07561,4.56049,4.79645,-1.03472,-4.70734,-6.68315,2.90661,5.32877,2.66116,2.36022,-2.60341,-2.76213,-7.27734,-6.12249,-6.32552,1.26382,0.907702,8.40041,-0.668667,-5.86444,0.989878,3.76542,5.72421,2.66489,1.12861,-8.02506,-1.3872,3.60049,7.49952,-6.50258,1.14719,-4.49559,-1.5334,-5.62164,-2.25722,7.41851,-2.97894,8.31986,-5.38776,-1.78129,73.7644
-20457,0.839339,0.00105802,10,1023,0,20476.8,3.15207,2.5428,9.88285,2.09594,0.173092,-5.06089,-6.5086,4.36934,3.26819,5.53469,-3.43776,0.223852,-3.16406,-9.99591,-2.21636,-8.20001,-6.4458,1.21105,6.42121,-1.49979,-7.79514,-4.20961,-0.306518,11.8989,-1.21018,0.179077,-4.74607,-1.78601,1.57622,6.0299,-2.9581,-3.50886,-1.47561,-6.97031,-10.1515,-0.0975218,6.85416,-6.6707,3.38395,1.8056,-3.76242,73.5411
-20454.1,0.973643,0.00105802,10,1023,0,20486.8,2.97171,2.13459,12.0503,4.72173,2.89105,2.55739,-6.09039,1.19817,3.63976,4.43596,-4.89977,2.92105,-3.41237,-8.71286,-3.11033,-8.56683,-4.18282,1.10672,4.11735,-4.35498,-4.7664,-5.35818,-0.918215,9.94415,0.169429,-4.20535,-4.98287,-0.234364,-1.10713,3.69125,-3.83596,-5.33509,0.0400763,-8.59951,-4.89835,2.09425,8.59663,-3.40458,6.16306,-0.147408,-3.33206,73.8065
-20454.2,0.998118,0.00105802,10,1023,0,20481.9,3.38407,2.28412,12.2654,4.89889,2.59194,2.81272,-5.95206,1.40945,3.72147,4.71728,-5.07028,2.69735,-3.57141,-7.53685,-3.97231,-8.31251,-4.18305,1.60551,4.20443,-4.69738,-4.48053,-4.44283,-0.940148,10.2502,1.18075,-4.33186,-5.35477,0.163569,-0.184825,3.66471,-4.126,-6.30912,0.368177,-8.30069,-4.71864,1.69829,8.40832,-3.95209,6.05581,0.254869,-3.55389,73.714
